                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6743,                 3.5966,                 1.2081,                0.00737,                0.55918,                0.00645,                0.00192,                 2.1118,                 4.2068,                 1.0636,                0.00052,                0.00052,                0.00052
                      2,                 2.2074,                 2.0924,                 1.0404,                0.01118,                0.84898,                0.30528,                0.10669,                 2.0781,                 3.2691,                  1.048,              0.0010548,              0.0010548,              0.0010548
                      3,                 2.1146,                 1.7151,                 1.0417,                 0.7476,                0.32642,                0.60313,                0.25504,                 1.9655,                 2.3366,                 1.0366,              0.0015842,              0.0015842,              0.0015842
                      4,                 2.1708,                 1.6365,                 1.0416,                0.74404,                0.62449,                0.71529,                0.30442,                 2.0043,                 1.8912,                 1.0604,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.1769,                 1.4963,                 1.0449,                0.62308,                 0.6898,                0.66901,                0.29355,                 1.9591,                 1.5183,                 1.0483,              0.0019604,              0.0019604,              0.0019604
                      6,                  2.089,                 1.4027,                 1.0389,                0.87474,                0.76735,                0.84012,                0.37981,                 1.9289,                 1.2577,                 1.0628,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.9745,                 1.2621,                0.99535,                0.86791,                0.79592,                0.87319,                0.37508,                 1.9378,                 1.1981,                 1.0381,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.9287,                 1.1714,                0.98879,                0.83772,                0.82173,                0.87316,                0.39639,                 1.8337,                 1.0991,                 1.0112,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.9282,                  1.149,                 0.9877,                0.84012,                0.77959,                0.85013,                0.37602,                 1.8357,                 1.2467,                 1.0113,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.9444,                 1.1433,                0.99778,                0.89837,                0.79373,                0.85636,                0.39665,                 1.8792,                 1.1018,                 1.0226,              0.0019109,              0.0019109,              0.0019109
